# Logfile created on 2020-10-10 06:43:29 +0000 by logger.rb/66358
[2020-10-10T06:43:29+00:00] INFO: Started Chef Infra Zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2020-10-10T06:43:29+00:00] INFO: *** Chef Infra Client 15.12.22 ***
[2020-10-10T06:43:29+00:00] INFO: Platform: x86_64-linux
[2020-10-10T06:43:29+00:00] INFO: Chef-client pid: 34
[2020-10-10T06:43:30+00:00] WARN: Plugin Network: unable to detect ipaddress
[2020-10-10T06:43:31+00:00] INFO: Setting the run_list to ["recipe[gitlab]"] from CLI options
[2020-10-10T06:43:31+00:00] INFO: Run List is [recipe[gitlab]]
[2020-10-10T06:43:31+00:00] INFO: Run List expands to [gitlab]
[2020-10-10T06:43:31+00:00] INFO: Starting Chef Infra Client Run for 9c6ec7af0f68
[2020-10-10T06:43:31+00:00] INFO: Running start handlers
[2020-10-10T06:43:31+00:00] INFO: Start handlers complete.
[2020-10-10T06:43:31+00:00] INFO: Loading cookbooks [gitlab@0.0.1, package@0.1.0, postgresql@0.1.0, redis@0.1.0, monitoring@0.1.0, registry@0.1.0, mattermost@0.1.0, consul@0.1.0, gitaly@0.1.0, praefect@0.1.0, letsencrypt@0.1.0, nginx@0.1.0, runit@5.1.3, acme@4.1.1, crond@0.1.0]
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/actioncable_disable.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/resources/database_objects.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/resources/unicorn_config.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap.rb in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/README.md in the cache.
[2020-10-10T06:43:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/add_trusted_certs.rb in the cache.
